,name,list_categories
222,ANCIENT AGRO,"['Toothpaste', 'Oral Care']"
223,ESSENTIAL OXYGEN,['Food And Drinks']
224,NORDIC NATURALS,"['Accessories', 'Accessories', 'Traditional Clothing', 'Hats', 'Accessories']"
225,NATURIGIN,['Underwear And Lingerie']
226,LIFE-FLO,"['Tops And Sweaters', 'Coats and Jackets', 'Apparel', 'Dresses', 'Shirts']"
227,AMALYA MEIRA,"['Water', 'Oil']"
228,PURA D'OR,['Food And Drinks']
229,HARVEST & MILL,['Vitamins and supplements']
230,KROEGER HERB,['Textiles']
231,CENTRAL GRAZING COMPANY,['Herbs spices.']
232,ALLIMAX,"['Wallets', 'Handbags', 'Handbags', 'Shoes', 'Swimwear', 'Skirts', 'Accessories', 'One-Piece', 'Sleepwear And Loungewear', 'Tops And Sweaters', 'Outerwear', 'Umbrellas', 'Activewear', 'Swimwear', 'Suits And Uniforms', 'Accessories', 'Traditional Clothing', 'Shirts And Blouses', 'Pants And Shorts', 'Underwear And Lingerie', 'Hats', 'Jewelry', 'Accessories', 'Wallets', 'Gloves', 'Scarves', 'Sunglasses', 'Belts', 'Dresses']"
233,SKY VALLEY FOODS,"['Suits And Uniforms', 'Shirts And Blouses', 'Pants And Shorts']"
234,WHOLE E NATURE,"['Fruits And Vegetables', 'Vegetable and mushroom canned']"
235,WESTBRAE NATURAL,['Food And Drinks']
236,BUSH BROTHERS & COMPANY,"['Snacks, Chips and Crackers']"
237,WILD MADE,['Food And Drinks']
238,WHOLLY WHOLESOME A DIV OF RUN-A-TON GROUP,['Food And Drinks']
239,SUNBUTTER LLC,"['Beverage', 'Food And Drinks']"
240,BIOTTA JUICES,['Home & Interiors']
241,MRS MEYER'S,"['Mask', 'Moisturiser', 'Facial toner', 'Hair coloration', 'Shower gel', 'Skin Care', 'Face cleanser', 'Hair Conditioner', 'Shaving', 'Exfoliator', 'Other hair care', 'Antiperspirant & deodorants', 'Makeup removers', 'Sunscreen']"
242,ANDALOU NATURALS,['Oil']
243,INTERNATIONAL COLLECTION,"['Wallets', 'Handbags', 'Handbags', 'Shoes', 'Accessories', 'Accessories', 'Jewelry', 'Accessories', 'Wallets', 'Belts']"
244,BOULDER CANYON,"['Cosmetics', 'Shampoo']"
245,BABYLABS,['Hats']
